=== Started 2025-04-11T20-19-17-080 ===
[INFO ][20:19:17] [1m[32mMultiOgar 1.3.5[37m - An open source multi-protocol ogar server[0m
[WARN ][20:19:17] ./ipbanlist.txt is missing.
[WARN ][20:19:17] User account "Local Administrator" disabled
[WARN ][20:19:17] User account "Local Moderator" disabled
[WARN ][20:19:17] User account "Local User" disabled
[INFO ][20:19:17] 0 user records loaded.
[INFO ][20:19:17] 25 bad words loaded
[WARN ][20:19:17] TLS: not supported (SSL certificate not found!)
[INFO ][20:19:17] WebSocket: ws
[INFO ][20:19:17] Started stats server on port 88
[INFO ][20:19:17] Listening on port 443
[ERROR][20:21:12] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:12] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:12] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:12] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:12] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:12] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:12] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:12] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:24] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:24] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:24] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:24] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:24] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:24] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:24] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:24] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:35] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:35] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:35] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:35] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:35] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:35] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:35] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:35] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:47] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:47] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:47] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:47] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:47] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:47] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:47] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:47] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:58] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:58] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:59] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:59] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:59] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:59] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:21:59] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:21:59] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:10] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:10] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:10] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:10] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:10] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:10] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:10] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:10] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[NONE ][20:22:10] DISCONNECTED 127.0.0.1:52229, code: 1000, reason: "", name: ""
[NONE ][20:22:11]  Player has joined the server!
[NONE ][20:22:11] CONNECTED    127.0.0.1:52344, origin: "null"
[INFO ][20:22:11] Added 14 minions
[NONE ][20:22:11]  Player has joined the server!
[NONE ][20:22:11] CONNECTED    127.0.0.1:52345, origin: "null"
[INFO ][20:22:11] Added 14 minions
[NONE ][20:22:11] DISCONNECTED 127.0.0.1:52344, code: 1000, reason: "", name: ""
[ERROR][20:22:21] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:21] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:21] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:21] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:21] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:21] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:21] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:21] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:33] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:33] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:33] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:33] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:33] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:33] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:33] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:33] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:44] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:44] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:44] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:44] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:44] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:44] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:44] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:44] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:56] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:56] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:56] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:56] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:56] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:56] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:22:56] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:22:56] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:07] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:07] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:07] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:07] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:07] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:07] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:07] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:07] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:19] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:19] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:19] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:19] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:19] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:19] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:19] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:19] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:30] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:30] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:30] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:30] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:30] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:30] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:30] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:23:30] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:23:42] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
